author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
Twitter,@Djhudzon Soooo… Twitter meet up? https://t.co/2mtRTWVb40,,11/01/2017 22:32,8.19311e+17,en,,,33,12
Twitter,"President-elect @realDonaldTrump spoke at the #TrumpPressConference; his first in 6 months.

https://t.co/sSQ8B6Ey0n",,11/01/2017 20:49,8.19285e+17,en,,,574,155
Twitter,@StheeReloaded 🔥 https://t.co/cEG7ksWBrc,,11/01/2017 06:16,8.19065e+17,und,,,46,16
Twitter,@dnasstyyy That feeling when you finally meet your Twitter friends. https://t.co/v1eQuaeoe9,,11/01/2017 06:15,8.19065e+17,en,,,43,15
Twitter,@KenRoth Wonder if he would’ve liked GIFs too. https://t.co/UMJQ9LXZJj,,11/01/2017 06:14,8.19065e+17,en,,,24,4
Twitter,@norungolo_105 New memes popping up everywhere like... https://t.co/D6uPIYULlM,,11/01/2017 06:14,8.19065e+17,en,,,17,5
Twitter,@alvinlindsay21 So. Much. Data. https://t.co/NJJ5pmyOsA,,11/01/2017 06:13,8.19065e+17,en,,,19,5
Twitter,"@JasilynAmber There’s small ships, and big ships, but there’s no ship like friendship. 😍 https://t.co/qzWNxRX6Ya",,11/01/2017 06:12,8.19065e+17,en,,,15,7
Twitter,"""Don't cry because it's over, smile because it happened.” – Dr. Seuss https://t.co/Bs6Vos5mnX",,11/01/2017 04:56,8.19045e+17,en,,,22730,9716
Twitter,"""Thank you. God bless you. May God continue to bless the United States of America."" - @POTUS

#ObamaFarewell
https://t.co/mQJvW9Gl0g",,11/01/2017 03:19,8.19021e+17,en,,,6076,1839
Twitter,"This #TravelTuesday is not a mirage. 

Tap through below to see what all the hype is about. 👇
https://t.co/IIcRIKMBlN",,10/01/2017 22:56,8.18955e+17,en,,,483,97
Twitter,@Samimami_ We're here for moral support. https://t.co/TVk4exxMTR,,10/01/2017 02:31,8.18646e+17,en,,,77,19
Twitter,@Gdubyaaa https://t.co/5htDKa4KRc,,10/01/2017 02:30,8.18646e+17,und,,,66,17
Twitter,@ColtChu The feeling is mutual. 😍,,10/01/2017 02:30,8.18646e+17,en,,,32,13
Twitter,@thecorpcommguy It’s an absolute masterpiece. 😍,,10/01/2017 02:29,8.18646e+17,en,,,27,13
Twitter,@mattbaumanNYC And who vs whom vs whose vs who’s.,,10/01/2017 02:29,8.18646e+17,en,,,24,10
Twitter,"@RileyDavidson32 Well, are her Tweets fire?",,10/01/2017 02:28,8.18646e+17,en,,,18,8
Twitter,@BERNIEXANDERS_ Sometimes the only engagement you need is from your followers. 😉,,10/01/2017 02:28,8.18646e+17,en,,,32,11
Twitter,"They walked. You talked.

Check out the highlights from last night's #GoldenGlobes https://t.co/rPhcjwPbHd",,09/01/2017 19:55,8.18547e+17,en,,,1531,384
Twitter,@SheaSerrano Toushea.,,09/01/2017 01:32,8.18269e+17,en,,,171,32
Twitter,"All the action starts NOW! 

Watch the #GoldenGlobes Red Carpet streaming LIVE on Twitter! https://t.co/9z4F3X3QUd",,08/01/2017 23:03,8.18232e+17,en,,,731,251
Twitter,"Walk with the stars. Talk with the stars.

The #GoldenGlobes Red Carpet streams LIVE tonight, right here on Twitter. https://t.co/9z4F3X3QUd",,08/01/2017 17:04,8.18141e+17,en,,,889,257
Twitter,"Catch the party before the party. 🎉

The #GoldenGlobes Red Carpet streams LIVE tomorrow, right here on Twitter! https://t.co/9z4F3X3QUd",,07/01/2017 19:31,8.17816e+17,en,,,775,155
Twitter,"Step and repeat. Tweet and Retweet.

The Golden Globes Red Carpet streams LIVE this Sunday on Twitter. https://t.co/9z4F3X3QUd",,07/01/2017 01:23,8.17542e+17,en,,,1274,511
Twitter,@MissKlept 😍,,07/01/2017 01:16,8.1754e+17,und,,,28,12
Twitter,@rainnwilson Are we talking “Taken” Liam Neeson or “Love Actually” Liam Neeson? The linguistic styles vary significantly.,,07/01/2017 01:16,8.1754e+17,en,,,105,17
Twitter,@sunriseaaron Fangirling zone is a judgement free zone. https://t.co/I6P7PApU6U,,07/01/2017 01:16,8.1754e+17,en,,,48,19
Twitter,@ValaAfshar @naval Ideas ➡️ conversations ➡️ relationships.,,07/01/2017 01:15,8.1754e+17,en,,,46,23
Twitter,@UniversalORL @leosponytail https://t.co/ccNGlFBf0F,,06/01/2017 22:53,8.17504e+17,und,,,210,69
Twitter,"It's all happening! ✨

Get ready to share your reactions this Sunday as the #GoldenGlobes Red Carpet streams LIVE o… https://t.co/Gu7o6sn3L6",,06/01/2017 18:29,8.17438e+17,en,,,999,257
Twitter,@SkylerJohnson 🙌 https://t.co/UWXszKHPZh,,06/01/2017 03:46,8.17216e+17,und,,,53,13
Twitter,@ThatDamnYank Guess you could call it... a Twitterccino. 😏 https://t.co/nigSHXJfAX,,06/01/2017 03:45,8.17215e+17,en,,,39,9
Twitter,"@Agony Suhhh.
https://t.co/JNOMJfGwgZ",,06/01/2017 03:43,8.17215e+17,und,,,146,38
Twitter,"@MissKlept A beautiful family, a beautiful message, and a very happy birthday to your daughter. ❤️",,06/01/2017 03:41,8.17215e+17,en,,,284,107
Twitter,#NationalBirdDay #TBT https://t.co/eROB3MH18t,,05/01/2017 21:25,8.1712e+17,und,,,4079,1020
Twitter,"Use #AskGlobes to hear your questions answered during the #GoldenGlobes Red Carpet, streaming LIVE on Twitter!

https://t.co/9z4F3X3QUd",,05/01/2017 17:21,8.17058e+17,en,,,703,199
Twitter,@lenoro22 Twitter school is in session. 😉,,05/01/2017 01:57,8.16826e+17,en,,,42,10
Twitter,@MadiLAlexander @TonyinOKC Sliding into a relationship like... https://t.co/xj4MWODLte,,05/01/2017 01:56,8.16826e+17,en,,,50,13
